name,symbol,price,pointChange,percentChange,previousClosePrice,openPrice,bid,ask,lowDayRange,highDayRange,low52WeekRange,high52WeekRange,volume,averageVolume,marketCap,beta,priceEarningsRatio,earningsPerShare,"earningsDate,",forwardDividend,exDividendDate,yieldPercent
Adara Acquisition Corp WT [Adra/W],ADR.W,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None
Adara Acquisition Corp Cl A,ADRA,10.05,0.00,0.00%,10.05,10.05,0.00 x 3200,None,10.05 , 10.06,9.71,10.06,2,24814,144.469,N/A,83.75,0.12,,N/A,None,N/A
Ault Disruptive Technologies Corp,ADRT,10.17,0.00,0.00%,10.17,10.17,10.12 x 1000,None,10.17 , 10.17,9.80,10.17,20,15492,146.194,N/A,N/A,-0.05,,N/A,None,N/A
Adams Resources & Energy,AE,38.03,-0.90,-2.31%,38.93,38.55,38.01 x 900,None,38.00 , 38.88,26.26,41.82,1993,14074,93.268,0.89,12.39,3.07,,0.96,"Dec 01, 2022",2.47
Abrdn EM Equity Income Fund Inc,AEF,5.14,+0.15,+3.01%,4.99,5.05,5.13 x 1200,None,5.12 , 5.18,4.26,8.25,38929,72182,260.864,0.88,N/A,-0.17,,0.50,"Sep 22, 2022",10.02
American Century Emerging Markets Bond ETF,AEMB,37.81,0.00,0.00%,37.81,37.16,37.67 x N/A,None,37.81 , 37.81,34.37,48.71,1,1250,24.73,37.65,N/A,5.71%,,None,None,None
Anfield U.S. Equity Sector Rotation ETF,AESR,11.81,+0.01,+0.08%,11.80,11.76,11.77 x 1200,None,11.76 , 11.81,10.54,14.79,4610,39585,125.64,11.81,N/A,0.27%,,None,None,None
Anfield Universal Fixed Income ETF,AFIF,8.74,-0.01,-0.06%,8.74,8.77,8.74 x 900,None,8.74 , 8.77,8.57,9.63,2558,56606,119.85,8.76,N/A,3.00%,,None,None,None
Vaneck Africa Index ETF,AFK,17.35,+0.16,+0.93%,17.19,17.60,17.33 x 800,None,17.35 , 17.51,14.76,21.89,3965,8044,43.99,16.79,N/A,5.53%,,None,None,None
FT Active Factor Mid Cap ETF,AFMC,23.17,+0.09,+0.41%,20.62,23.17,22.91 x 900,None,23.18 , 23.18,20.00,26.93,101,73,1.11,23.07,N/A,1.56%,,None,None,None
FT Active Factor Small Cap ETF,AFSM,23.77,0.00,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None
FT Active Factor Large Cap ETF,AFLG,24.06,-0.07,-0.29%,24.13,24.06,23.96 x 900,None,24.06 , 24.06,21.42,28.22,385,477,4.71,24.10,N/A,1.42%,,None,None,None
CSOP FTSE China A50 ETF,AFTY,15.51,+0.34,+2.21%,15.17,15.51,15.43 x 1100,None,15.51 , 15.51,13.16,22.06,100,911,4.73,14.49,N/A,2.89%,,None,None,None
Agex Therapeutics Inc,AGE,0.5807,+0.0205,+3.67%,0.5602,0.5800,0.5800 x 4000,None,0.5800 , 0.5807,0.5160,1.3900,2323,22904,22.036,1.43,N/A,-0.2450,,N/A,None,N/A
US Aggregate Bond Ishares Core ETF,AGG,97.40,-0.13,-0.13%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None
Simplify Aggregate Bond Plus Credit ETF,AGGH,22.37,0.00,0.00%,22.37,22.46,22.38 x 3000,None,22.37 , 22.48,21.75,26.35,6,1738,2.75,22.52,N/A,N/A,,None,None,None
Wisdomtree Yield Ehd U.S. Agg Bond Fund,AGGY,42.74,-0.07,-0.16%,42.81,42.75,42.73 x 900,None,42.69 , 42.79,40.84,52.20,54896,231192,801.18,42.99,N/A,2.64%,,None,None,None
Ishares Inflation Hedged U.S. Aggregate Bond ETF,AGIH,24.21,-0.10,-0.41%,25.12,24.19,24.18 x 900,None,24.39 , 24.39,23.59,26.21,0,49,2.4,24.30,N/A,N/A,,None,None,None
Exchange Listed Funds Trust Gavekal Asia Pacific,AGOV,79.96,+0.01,+0.02%,79.94,81.14,79.05 x 1000,None,79.96 , 81.00,75.41,98.96,80,2417,47.69,81.30,N/A,0.93%,,None,None,None
Adaptive Growth Opportunities ETF,AGOX,21.15,+0.05,+0.22%,21.10,21.21,21.07 x 1800,None,21.07 , 21.21,18.68,29.32,2895,51057,158.53,21.04,N/A,0.23%,,None,None,None
Ultra Silver ETF,AGQ,26.40,+0.98,+3.85%,25.42,26.97,26.33 x 1100,None,26.10 , 27.14,17.56,47.05,925177,1289233,324.37,24.75,N/A,0.00%,,None,None,None
Interest Rate Hedged U.S. Agg Bond ETF,AGRH,None,-0.16%,None,25.34,25.37,25.20 x N/A,None,25.31 , 25.31,24.95,25.40,99,107,2.52,25.32,N/A,N/A,,None,None,None
Agency Bond Ishares ETF,AGZ,106.55,-0.16,-0.15%,106.71,106.55,106.51 x 900,None,106.45 , 106.59,105.00,118.00,7584,32020,575.73,106.67,N/A,1.18%,,None,None,None
Tidal Newday Ocean Health ETF,AHOY,19.28,-0.05,-0.28%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None
Adaptive High Income ETF,AHHX,8.47,-0.01,-0.12%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None
