name,symbol,price,previousClosePrice,openPrice,bid,ask,lowDayRange,highDayRange,low52WeekRange,high52WeekRange,volume,averageVolume,marketCap,beta,priceEarningsRatio,earningsPerShare,forwardDividend,yieldPercent
ares commercial real estate cor,ACRE,12.44,"12.46,12.46",12.69,12.48 x 1000,None,12.32 , 12.70,9.99 , 16.48,207375,606012,676.942M,1.33,11.62,1.07,1.32 ,10.70
acropolis infrastructure acquisition corp cl a,ACRO,9.86,"9.85,9.85",9.85,9.84 x 800,None,9.85 , 9.86,9.60 , 9.87,115852,178503,425.212M,N/A,N/A,-0.08,N/A ,None
allianzgi diversified income &,ACV,19.74,"19.95,19.95",20.00,19.67 x 800,None,19.63 , 19.85,17.43 , 37.59,14851,36279,204.558M,N/A,N/A,N/A,2.16 ,10.78
agree realty corp,ADC,66.44,"68.53,68.53",67.50,66.45 x 800,None,66.09 , 68.77,61.62 , 80.44,143440,761012,5.328,N/A,35.16,1.89,2.88 ,4.20
agree realty corp,ADC-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
adc therapeutics sa,ADCT,4.3100,"4.4200,4.4200",4.4700,4.3400 x 900,None,4.2450 , 4.4500,4.0100 , 30.5950,36289,235559,334.651M,1.28,N/A,-2.5420,N/A ,None
adit edtech acquisition corp [adex.u],ADE.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
adit edtech acquisition corp wt [adex/w],ADE.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
adit edtech acquisition corp,ADEX,9.95,"9.95,9.95",9.95,9.95 x 4000,None,9.95 , 9.95,9.70 , 10.24,5553,103370,343.447M,N/A,248.88,0.04,N/A ,None
adient plc,ADNT,34.06,"34.69,34.69",34.31,33.92 x 900,None,33.53 , 34.35,27.15 , 50.96,133460,714482,3.229,2.61,4.07,8.36,N/A ,None
archer daniels midland,ADM,96.41,"97.53,97.53",95.95,96.41 x 800,None,94.89 , 96.58,61.80 , 98.88,989000,2607307,52.961,0.79,13.30,7.25,1.60 ,1.69
alliance data systems corp,ADS,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
adt inc,ADT,8.43,"8.45,8.45",8.36,8.44 x 3000,None,8.23 , 8.46,6.00 , 10.39,674400,4221693,7.707,1.83,N/A,-0.28,0.14 ,1.63
adams diversified equity fund,ADX,15.53,"15.59,15.59",15.63,15.54 x 800,None,15.52 , 15.60,14.20 , 22.33,8974,185392,1.83,0.96,2.78,5.59,0.20 ,1.30
ameren corp,AEE,82.51,"82.12,82.12",81.86,82.27 x 800,None,81.68 , 82.52,73.28 , 99.20,159140,1351090,21.318,0.43,21.16,3.90,2.36 ,2.89
aegon funding company llc 5.10%,AEFC,19.50,"19.50,19.50",19.40,19.22 x 800,None,19.48 , 19.54,18.77 , 27.22,6596,53212,N/A,N/A,N/A,N/A,N/A ,None
aegon n.v. adr,AEG,4.5850,"4.5900,4.5900",4.6000,4.6100 x 41800,None,4.5809 , 4.6150,3.7600 , 6.2200,455214,3020571,9.211,1.40,18.34,0.2500,0.21 ,4.48
american equity investment life,AEL,42.08,"42.51,42.51",42.40,41.99 x 800,None,41.95 , 42.66,32.65 , 44.49,69141,490439,3.687,0.98,3.55,11.86,0.34 ,0.80
american equity investment life holding co. 5.95,AEL-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
american equity investment life holding co.,AEL-B,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
agnico-eagle mines ltd,AEM,44.47,"45.76,45.76",45.34,44.58 x 800,None,44.41 , 46.23,36.69 , 67.14,747532,2801771,20.291,0.77,31.32,1.42,1.60 ,3.54
american eagle outfitters,AEO,10.89,"11.26,11.26",11.09,10.93 x 1800,None,10.88 , 11.17,9.46 , 29.19,836505,6183710,2.039,1.29,11.70,0.93,0.72 ,6.40
aenza s.a.a. adr,AENZ,0.9003,"0.8997,0.8997",0.9499,0.8999 x 800,None,0.9003 , 0.9499,0.6900 , 2.1900,1733,9400,280.557M,0.86,N/A,-0.2150,N/A ,None
aercap holdings n.v.,AER,52.85,"53.66,53.66",53.09,52.91 x 1100,None,52.62 , 53.44,37.20 , 71.38,142967,885098,12.993,1.96,N/A,-7.05,N/A ,None
the aes corp,AES,26.08,"26.34,26.34",26.26,26.05 x 1000,None,25.93 , 26.22,18.62 , 27.79,559048,5015840,17.42,0.92,N/A,-0.22,0.63 ,2.40
aes corp,AESC,98.04,"98.40,98.40",98.04,97.18 x 1100,None,97.86 , 98.71,79.83 , 102.95,409,52862,N/A,0.92,N/A,-0.22,N/A ,None
aeva technologies inc,AEVA,1.8007,"1.8900,1.8900",1.8700,1.8400 x 1800,None,1.8000 , 1.8800,1.7500 , 10.7500,423807,1691231,392.542M,1.15,N/A,-0.5400,N/A ,None
aeva technologies inc wt [aeva/s],AEV.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
alliance national municipal,AFB,10.16,"10.17,10.17",10.12,10.19 x 900,None,10.13 , 10.20,10.00 , 15.08,24415,71229,292.048M,0.32,10.58,0.96,0.54 ,5.26
american financial group,AFG,143.16,"145.15,145.15",145.99,143.37 x 900,None,142.91 , 144.28,119.01 , 152.29,124155,338131,12.192,0.78,11.85,12.08,2.52 ,1.74
american financial group inc 5.875%,AFGB,21.81,"21.70,21.70",21.81,21.52 x 800,None,21.81 , 21.81,21.29 , 27.78,575,8304,N/A,N/A,N/A,N/A,N/A ,None
american financial group inc 5.625%,AFGD,20.61,"20.72,20.72",20.68,20.51 x 1100,None,20.51 , 20.61,20.49 , 29.57,1646,7773,N/A,N/A,N/A,N/A,N/A ,None
american financial group inc 5.125%,AFGC,19.36,"19.67,19.67",19.73,19.35 x 800,None,19.36 , 19.73,18.67 , 28.03,697,9914,19.322M,N/A,N/A,N/A,N/A ,None
american financial group inc 4.500%,AFGE,17.86,"17.86,17.86",18.11,17.79 x 3000,None,17.86 , 18.20,17.80 , 28.90,47,3959,N/A,N/A,N/A,N/A,N/A ,None
armstrong flooring inc,AFI,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
aflac inc,AFL,67.32,"66.81,66.81",66.56,67.06 x 800,None,66.23 , 67.34,52.07 , 67.34,919849,2523418,42.544,0.89,10.15,6.63,1.60 ,2.47
apollo senior floating rate fund inc,AFT,12.39,"12.42,12.42",12.45,12.37 x 1000,None,12.36 , 12.40,12.21 , 17.20,17155,50665,192.957M,0.47,9.76,1.27,1.26 ,10.14
afternext healthtech acquisition [aftr.u],AFT.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
afternext healthtech acquisition wt [aftr/u],AFT.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
afternext healthtech acquisition corp cl a,AFTR,9.91,"9.88,9.88",9.89,9.89 x 1400,None,9.87 , 9.89,9.57 , 10.00,7391,125173,310M,N/A,N/A,N/A,N/A ,None
first majestic silver,AG,8.43,"8.69,8.69",8.83,8.45 x 1100,None,8.42 , 8.74,6.31 , 14.67,1713369,6743190,2.215,0.97,"4,214.95",0.00,0.02 ,0.29
african gold acquisition corp [agac.u],AGA.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
african gold acquisition corp cl a,AGAC,9.97,"9.97,9.97",9.97,9.97 x 1200,None,9.97 , 9.97,9.66 , 10.02,1152,167995,515.948M,N/A,47.93,0.21,N/A ,None
altimeter growth corp 2 cl a,AGCB,9.98,"9.98,9.98",9.98,9.97 x 1200,None,9.97 , 9.98,9.70 , 10.54,261503,117189,572.353M,N/A,998.00,0.01,N/A ,None
african gold acquisition corp wt [agac/w],AGA.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
agco corp,AGCO,118.11,"116.86,116.86",122.23,117.93 x 900,None,116.11 , 118.71,88.55 , 150.28,154566,569621,8.811,1.36,11.21,10.54,0.96 ,0.78
aberdeen global dynamic dividend fund,AGD,8.74,"8.92,8.92",8.83,8.74 x 800,None,8.74 , 8.78,8.23 , 12.38,14768,44717,109.684M,1.07,2.45,3.57,0.78 ,8.74
alamos gold inc,AGI,7.98,"8.11,8.11",8.07,7.95 x 4000,None,7.95 , 8.20,6.35 , 9.22,669188,3504479,3.136,1.07,133.00,0.06,0.10 ,1.27
agilon health inc,AGL,19.82,"19.82,19.82",20.20,19.87 x 1400,None,19.42 , 20.02,14.36 , 28.36,248291,2259978,8.145,N/A,N/A,-1.00,N/A ,None
federal agricultural mortgage corp,AGM,115.59,"115.20,115.20",116.10,115.61 x 1000,None,115.59 , 116.72,90.38 , 137.01,7712,28606,1.236,0.95,9.35,12.36,3.80 ,3.30
federal agricultural mortgage corp [agm/pc],AGM-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
federal agricultural mortgage corp [agm/pd],AGM-D,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
federal agricultural mortgage corp [agm/pe],AGM-E,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
federal agricultural mortgage corp [agm/pf],AGM-F,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
federal agricultural mortgage corp,AGM-G,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
federal agricultural mortgage corp,AGM.A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
assured guaranty ltd,AGO,59.54,"59.26,59.26",59.28,59.57 x 900,None,59.09 , 59.62,44.94 , 65.68,47089,339585,3.688,1.06,14.52,4.10,1.00 ,1.69
avangrid inc,AGR,41.03,"40.61,40.61",40.67,40.98 x 900,None,40.44 , 41.03,37.64 , 52.51,121176,716321,15.863,0.43,17.76,2.31,1.76 ,4.33
adecoagro s.a.,AGRO,8.33,"8.59,8.59",8.38,8.34 x 1000,None,8.24 , 8.41,6.78 , 13.55,137847,559215,925.305M,1.08,5.31,1.57,0.32 ,3.74
playags inc,AGS,6.81,"6.90,6.90",6.86,6.81 x 800,None,6.70 , 6.90,4.21 , 10.45,42021,280295,253.133M,2.35,N/A,-0.75,N/A ,None
agiliti inc,AGTI,17.21,"17.23,17.23",17.36,17.23 x 1000,None,16.74 , 17.39,14.29 , 26.34,14106,203176,2.324,1.05,53.78,0.32,N/A ,None
argan inc,AGX,34.63,"34.62,34.62",34.43,34.54 x 1000,None,34.39 , 34.84,31.26 , 46.24,5465,76892,480.81M,0.51,20.13,1.72,1.00 ,2.89
armada hoffler properties inc,AHH,11.49,"11.76,11.76",11.65,11.51 x 800,None,11.49 , 11.66,10.04 , 15.80,50842,323140,1.015,0.91,23.94,0.48,0.76 ,6.44
armada hoffler pptys inc [ahh/pa],AHH-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
aspen insurance holdings ltd [ahl/pc],AHL-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
aspen insurance holdings ltd [ahl/pd],AHL-D,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
aspen insurance holdings ltd [ahl/pe],AHL-E,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ashford hospitality trust inc,AHT,7.00,"7.88,7.88",7.82,6.90 x 4000,None,6.83 , 7.80,4.61 , 16.41,281757,524298,261.978M,2.06,N/A,-8.49,N/A ,None
ashford hospitality tr inc [aht/pd],AHT-D,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ashford hospitality tr inc [aht/pf],AHT-F,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ashford hospitality tr inc [aht/pg],AHT-G,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ashford hospitality tr inc [aht/ph],AHT-H,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ashford hospitality tr inc [aht/pi],AHT-I,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
c3.ai inc cl a,AI,12.33,"12.92,12.92",12.90,12.39 x 800,None,12.30 , 12.90,11.29 , 53.82,305923,1848529,1.337,N/A,N/A,-1.84,N/A ,None
arlington asset investment cor,AIC,23.65,"23.65,23.65",24.00,23.60 x 900,None,23.65 , 24.00,23.10 , 25.60,1300,2001,613.729M,N/A,N/A,N/A,N/A ,None
apollo tactical income fund inc,AIF,12.12,"12.14,12.14",12.16,12.13 x 1100,None,12.11 , 12.15,11.74 , 16.09,10412,46970,175.304M,0.60,9.54,1.27,1.38 ,11.37
american international group,AIG,58.12,"57.07,57.07",57.28,57.77 x 900,None,56.82 , 58.65,47.05 , 65.73,2253851,4567495,44.192,1.16,3.81,15.24,1.28 ,2.25
american international group inc [aig/pa],AIG-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
albany international corp,AIN,94.25,"94.51,94.51",93.75,94.00 x 900,None,93.19 , 94.45,75.24 , 97.73,21191,113121,2.931,1.27,28.22,3.34,0.84 ,0.93
virtus allianzgi artificial intel & tech opp,AIO,16.57,"16.60,16.60",16.54,16.57 x 800,None,16.53 , 16.68,14.92 , 28.67,28023,119335,568.859M,N/A,2.15,7.70,1.80 ,10.94
aar corp,AIR,44.16,"44.94,44.94",44.52,43.90 x 800,None,43.73 , 44.65,31.89 , 52.83,51040,264842,1.564,1.53,17.59,2.51,N/A ,None
apartment income reit corp,AIRC,38.37,"38.47,38.47",38.27,38.37 x 1400,None,38.08 , 38.45,35.50 , 55.82,105208,831585,5.915,N/A,6.27,6.12,1.80 ,4.73
applied industrial technologies,AIT,127.88,"129.72,129.72",129.08,128.04 x 800,None,127.36 , 130.47,88.09 , 130.47,37959,183826,4.933,1.14,17.79,7.19,1.36 ,1.05
apartment investment and management,AIV,7.75,"7.94,7.94",7.85,7.74 x 900,None,7.72 , 7.89,5.22 , 9.79,160632,1807439,1.179,N/A,4.84,1.60,N/A ,None
assurant inc,AIZ,133.28,"134.70,134.70",133.09,134.45 x 1100,None,130.11 , 136.33,130.01 , 194.12,229696,449434,7.153,0.57,15.72,8.48,2.72 ,2.02
assurant inc 5.25% subordinated notes due 2061,AIZN,18.54,"18.63,18.63",18.77,18.51 x 3200,None,18.52 , 18.72,18.46 , 27.51,2815,12003,N/A,N/A,N/A,N/A,N/A ,None
arthur j. gallagher & company,AJG,185.43,"187.42,187.42",186.81,185.59 x 800,None,185.17 , 187.34,147.32 , 192.00,181443,967712,39.096,0.68,36.65,5.06,2.04 ,1.08
aerojet rocketdyne holdings,AJRD,49.50,"48.25,48.25",48.77,49.30 x 800,None,48.16 , 50.09,35.47 , 50.09,240861,582260,3.982,0.47,32.14,1.54,N/A ,None
great ajax corp,AJX,8.28,"8.49,8.49",8.60,8.30 x 900,None,8.28 , 8.40,7.33 , 14.74,9248,71292,188.254M,1.74,18.40,0.45,1.08 ,12.57
great ajax corp 7.25% convertible senior notes,AJXA,24.25,"24.25,24.25",24.39,24.18 x 1300,None,24.25 , 24.39,23.48 , 27.02,111,4507,N/A,N/A,16.71,N/A,None,None
a.k.a. brands holding corp,AKA,1.9700,"1.9700,1.9700",1.9500,1.9200 x 900,None,1.9300 , 2.0200,1.2480 , 15.2300,12422,198757,253.49M,N/A,N/A,-0.0550,N/A ,None
embotell andina sa cl a adr,AKO.A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
embotell andna sa cl b adr,AKO.B,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
acadia realty trust,AKR,13.79,"14.19,14.19",14.26,13.80 x 800,None,13.74 , 14.13,12.28 , 23.33,111097,638509,1.382,1.42,40.56,0.34,0.72 ,5.15
air lease corp cl a,AL,35.33,"35.67,35.67",35.35,35.40 x 1000,None,35.09 , 35.45,29.75 , 50.99,71500,501223,3.918,1.80,N/A,-1.33,0.74 ,2.10
air lease corp [al/pa],AL-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
albemarle corp,ALB,270.66,"279.00,279.00",276.18,270.78 x 900,None,265.50 , 276.94,169.93 , 308.24,542643,1392859,31.702,1.44,125.31,2.16,1.58 ,0.57
alcon inc,ALC,59.98,"60.47,60.47",60.39,60.09 x 800,None,59.94 , 60.39,55.21 , 88.78,230392,940642,29.622,0.74,65.20,0.92,0.21 ,0.33
altc acquisition corp cl a,ALCC,9.83,"9.83,9.83",9.85,9.82 x 1300,None,9.83 , 9.85,9.60 , 10.00,73338,39018,628.628M,N/A,N/A,-0.06,N/A ,None
allete inc,ALE,56.04,"56.15,56.15",56.00,55.96 x 800,None,55.85 , 56.15,47.77 , 68.61,25303,322743,3.198,0.67,15.61,3.59,2.60 ,4.55
alexander and baldwin inc,ALEX,19.12,"19.49,19.49",19.34,19.15 x 1100,None,19.02 , 19.25,15.80 , 26.57,37572,287410,1.39,1.26,49.03,0.39,0.88 ,4.64
alamo group,ALG,152.94,"152.08,152.08",153.72,152.81 x 1300,None,151.96 , 153.36,108.35 , 160.71,7257,44303,1.83,0.94,21.76,7.03,0.72 ,0.47
altera infrastructure lp 7.25% ser a [alin/pa],ALI-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
altera infrastructure lp 8.50% ser b [alin/pb],ALI-B,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
altera infrastructure lp 8.875% ser e [alin/pe],ALI-E,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
alight inc wt [alit/w],ALI.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
alaska air group,ALK,44.14,"44.52,44.52",44.09,44.00 x 800,None,43.90 , 44.37,38.19 , 61.55,434042,1472762,5.598,1.42,105.10,0.42,N/A ,None
allstate corp,ALL,125.64,"125.75,125.75",125.72,125.70 x 800,None,125.15 , 126.58,106.11 , 144.46,338606,1913029,33.961,0.65,40.79,3.08,3.40 ,2.69
alight inc cl a,ALIT,7.98,"8.19,8.19",8.18,8.03 x 1000,None,7.98 , 8.18,6.31 , 12.00,424843,1867918,4.447,N/A,N/A,-0.19,N/A ,None
allstate corp [all/pb],ALL-B,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
allstate corp [all/pg],ALL-G,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
allstate corp [all/ph],ALL-H,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
allstate corp [all/pi],ALL-I,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
allegion plc,ALLE,105.88,"106.56,106.56",106.24,105.22 x 900,None,105.07 , 106.24,87.33 , 137.02,157612,770156,9.301,1.03,21.56,4.91,1.64 ,1.54
alabama power co. [alp/pq],ALP-Q,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
