name,symbol,price,previousClosePrice,openPrice,bid,ask,lowDayRange,highDayRange,low52WeekRange,high52WeekRange,volume,averageVolume,marketCap,beta,priceEarningsRatio,earningsPerShare,forwardDividend,yieldPercent
ascent industries co,ACNT,13.85,"13.76,13.76",13.85,13.71 x 900,None,13.66 , 13.85,11.65 , 19.20,4602,18431,142.094M,0.60,3.71,3.73,N/A ,None
aclarion inc,ACON,1.0500,"1.0550,1.0550",1.0800,1.0300 x 1000,None,1.0301 , 1.0800,0.7700 , 4.0500,4670,333062,8.213M,N/A,N/A,-7.1200,N/A ,None
aclarion inc wt,ACONW,0.1700,"0.2000,0.2000",0.1690,0.1600 x 1300,None,0.1690 , 0.2001,0.1690 , 0.2001,1298,N/A,N/A,N/A,N/A,N/A,N/A ,None
acorda therapeutics,ACOR,0.7800,"0.7200,0.7200",0.7030,0.7700 x 1200,None,0.7001 , 0.8250,0.2600 , 4.2000,757163,3815831,18.984M,0.52,N/A,-8.2190,N/A ,None
independence holdings corp cl a,ACQR,10.00,"9.98,9.98",9.98,9.99 x 2900,None,9.98 , 10.00,9.67 , 10.82,69484,94082,619.886M,N/A,35.71,0.28,N/A ,None
independence holdings corp units,ACQRU,9.98,"9.98,9.98",9.98,9.99 x 800,None,9.98 , 9.98,9.75 , 10.20,1100,4818,N/A,N/A,76.77,0.13,N/A ,None
independence holdings corp wt,ACQRW,0.0526,"0.0526,0.0526",N/A,N/A x N/A,None,0.0401 , 0.0665,0.0401 , 0.0665,1600,N/A,N/A,N/A,N/A,N/A,N/A ,None
aclaris therapts,ACRS,15.51,"15.18,15.18",15.08,15.58 x 900,None,14.90 , 15.64,9.26 , 18.59,18766,343348,1.034B,0.60,N/A,-1.36,N/A ,None
acasti pharma,ACST,0.5600,"0.5701,0.5701",0.5414,0.5500 x 1000,None,0.5414 , 0.5701,0.5200 , 1.7900,36321,62934,24.982M,1.46,N/A,-0.4580,N/A ,None
acelrx pharmaceutica,ACRX,2.2524,"2.2500,2.2500",2.2100,2.2300 x 1100,None,2.2000 , 2.2700,2.2000 , 18.0000,18917,126646,16.593M,0.45,0.54,4.1500,N/A ,None
enact holdings inc,ACT,25.89,"26.09,26.09",26.31,25.66 x 900,None,25.36 , 26.62,18.76 , 28.37,91270,225323,4.216B,N/A,6.42,4.03,0.56 ,2.18
acacia res-acacia,ACTG,4.0250,"4.0500,4.0500",4.0000,4.0200 x 3100,None,3.9850 , 4.0500,3.3000 , 6.1600,47149,278989,154.182M,0.42,2.07,1.9400,N/A ,None
acwi ishares msci etf,ACWI,80.57,"81.15,81.15",80.24,80.85 x 1300,None,79.85 , 80.89,75.71 , 107.46,4836376,4932156,14.35B,82.78,N/A,2.49%,None,None
acwi ex us ishares msci etf,ACWX,41.20,"41.31,41.31",40.80,41.26 x 3200,None,40.80 , 41.27,38.81 , 58.08,604676,2777014,3.41B,41.82,N/A,4.36%,None,None
acurx pharmaceuticals inc,ACXP,2.9500,"2.7500,2.7500",2.8000,2.8900 x 900,None,2.8000 , 2.9500,2.3300 , 5.7000,1672,28009,34.092M,N/A,N/A,-1.4870,N/A ,None
acv auctions inc cl a,ACVA,8.12,"8.22,8.22",8.12,8.27 x 900,None,8.06 , 8.32,6.10 , 22.82,219825,1307071,1.292B,N/A,N/A,-0.58,N/A ,None
adagene inc adr,ADAG,0.9568,"0.9362,0.9362",0.9491,0.9568 x 2200,None,0.9305 , 1.0300,0.9000 , 12.0000,11660,66635,41.547M,N/A,N/A,-1.8290,N/A ,None
anthemis digital acquisitions i corp cl a,ADAL,10.18,"10.18,10.18",10.16,10.14 x 3000,None,10.14 , 10.18,6.97 , 10.18,18174,63121,307.309M,N/A,N/A,N/A,N/A ,None
anthemis digital acquisitions i corp,ADALU,10.13,"10.13,10.13",10.13,10.13 x 1000,None,10.13 , 10.13,9.82 , 10.59,1,3078,N/A,N/A,N/A,N/A,N/A ,None
anthemis digital acquisitions i corp wt,ADALW,0.1500,"0.1500,0.1500",0.1500,0.1100 x 1200,None,0.1500 , 0.1500,0.0600 , 0.6000,66900,32601,N/A,N/A,N/A,N/A,N/A ,None
adaptimmune ther adr,ADAP,1.5400,"1.5100,1.5100",1.5000,1.5500 x 800,None,1.4700 , 1.5700,1.0100 , 5.9500,62287,409385,251.59M,1.95,N/A,-1.0920,N/A ,None
adobe systems inc,ADBE,292.20,"301.22,301.22",297.07,294.88 x 800,None,292.01 , 299.61,274.73 , 699.54,1740941,4032331,135.844B,1.23,28.20,10.36,N/A ,None
adeia inc,ADEA,11.25,"11.60,11.60",11.40,11.25 x 800,None,10.82 , 11.40,3.54 , 11.85,126095,1630958,1.173B,0.89,N/A,N/A,0.20 ,1.91
26 capital acquisition corp cl a,ADER,9.99,"9.99,9.99",9.98,9.99 x 1200,None,9.97 , 9.99,9.76 , 10.01,3,95746,343.923M,N/A,10.19,0.98,N/A ,None
advanced emissions solutions inc,ADES,2.7800,"2.7800,2.7800",2.8100,2.7700 x 1000,None,2.7674 , 2.8100,2.7100 , 8.0000,15775,101106,53.193M,0.70,1.96,1.4200,N/A ,None
analog devices,ADI,139.46,"141.24,141.24",139.40,139.89 x 900,None,137.79 , 141.01,133.48 , 191.95,770827,3498254,71.728B,1.14,41.26,3.38,3.04 ,2.10
adial pharmaceuticals inc,ADIL,0.3077,"0.2900,0.2900",0.2900,0.2997 x 1100,None,0.2855 , 0.3078,0.2700 , 3.5200,31324,198050,8.263M,0.65,N/A,-0.8580,N/A ,None
adial pharmaceuticals inc wt,ADILW,0.0305,"0.0305,0.0305",0.6601,0.5001 x 1000,None,0.0305 , 0.0305,0.0305 , 0.0305,75,N/A,N/A,N/A,N/A,N/A,N/A ,None
adma biologics,ADMA,2.6250,"2.6400,2.6400",2.6500,2.6100 x 3000,None,2.6000 , 2.6983,1.1700 , 2.9200,623706,2846665,526.643M,0.96,N/A,-0.4900,N/A ,None
adamis pharmaceuticl,ADMP,0.1338,"0.1340,0.1340",0.1321,0.1324 x 3200,None,0.1321 , 0.1381,0.1200 , 1.0800,150697,1803775,20.068M,1.22,N/A,-0.2730,N/A ,None
advent technologies hldg inc,ADN,2.0615,"2.0700,2.0700",2.0700,2.0900 x 2200,None,2.0200 , 2.1088,1.1300 , 10.0400,254600,916414,106.438M,-0.03,N/A,-0.5610,N/A ,None
advent technologies hldg inc wt,ADNWW,0.3100,"0.3000,0.3000",1.8500,1.7200 x 1000,None,0.2800 , 0.3100,0.2800 , 0.3100,9320,N/A,N/A,N/A,N/A,N/A,N/A ,None
edoc acquisition corp cl a,ADOC,10.39,"10.38,10.38",10.38,10.38 x 1000,None,10.38 , 10.39,10.00 , 11.60,12601,12112,56.909M,N/A,N/A,-0.55,N/A ,None
edoc acquisition corp right,ADOCR,0.0600,"0.0600,0.0600",0.0501,0.0400 x 1000,None,0.0300 , 0.0600,0.0300 , 0.0600,5020,N/A,N/A,N/A,N/A,-0.5510,N/A ,None
edoc acquisition corp wt,ADOCW,0.0133,"0.0133,0.0133",0.2885,0.2613 x 900,None,0.0133 , 0.0135,0.0133 , 0.0135,8622,N/A,N/A,N/A,N/A,N/A,N/A ,None
automatic data procs,ADP,238.29,"237.44,237.44",234.53,238.63 x 1300,None,233.39 , 239.86,192.26 , 261.59,387204,1705326,98.936B,0.83,33.00,7.22,4.16 ,1.71
adaptive biotechnologies corp,ADPT,7.83,"7.85,7.85",7.63,7.88 x 800,None,7.57 , 8.04,5.95 , 37.55,322327,1121759,1.164B,1.02,N/A,-1.63,N/A ,None
bldrs emerging markets 50 adr etf,ADRE,32.81,"32.40,32.40",32.40,32.73 x 800,None,32.19 , 32.82,31.47 , 51.36,1054,5221,117.68M,33.03,4.30,5.51%,None,None
ads-tec energy plc,ADSE,5.37,"5.01,5.01",5.13,5.46 x 1000,None,5.01 , 5.83,4.60 , 10.88,7677,15951,262.318M,N/A,N/A,-3.64,N/A ,None
ads-tec energy plc wt,ADSEW,0.6300,"0.6024,0.6024",0.6177,0.6300 x 1100,None,0.6080 , 0.6431,0.6080 , 0.6431,2709,N/A,N/A,N/A,N/A,N/A,N/A ,None
autodesk inc,ADSK,197.68,"199.38,199.38",197.35,198.19 x 900,None,195.01 , 200.61,163.20 , 335.48,471778,1364245,42.672B,1.48,75.45,2.62,N/A ,None
adtheorent holding co inc,ADTH,1.9600,"2.0600,2.0600",2.1100,1.9500 x 1200,None,1.9600 , 2.1100,1.8000 , 11.9000,44996,214165,169.495M,N/A,4.17,0.4700,N/A ,None
adtheorent holding co inc wt,ADTHW,0.2000,"0.2000,0.2000",0.1900,0.2000 x 1000,None,0.2000 , 0.2000,0.2000 , 0.2000,3236,N/A,N/A,N/A,0.65,N/A,N/A ,None
adtran holdings inc,ADTN,22.22,"22.39,22.39",22.09,22.22 x 1100,None,22.01 , 22.33,16.30 , 25.47,89843,707245,1.72B,1.38,N/A,-0.22,0.36 ,1.60
aditxt inc,ADTX,2.2801,"2.2300,2.2300",2.1900,2.3100 x 800,None,2.1000 , 2.3900,2.1000 , 136.0000,212330,2736936,9.488M,1.70,N/A,-1.7200,N/A ,None
addus homecare corp,ADUS,108.35,"107.80,107.80",107.60,107.99 x 800,None,106.31 , 108.77,68.57 , 112.11,20862,103925,1.742B,0.77,37.88,2.86,N/A ,None
advantage solutions inc,ADV,3.3400,"3.4000,3.4000",3.3700,3.3400 x 1000,None,3.3100 , 3.3800,1.9450 , 9.4900,59118,635332,1.064B,1.34,14.52,0.2300,N/A ,None
adverum biotechnlgs,ADVM,0.8401,"0.8417,0.8417",0.8401,0.8401 x 1100,None,0.8400 , 0.8589,0.7950 , 2.3600,63886,423518,83.45M,1.18,N/A,-1.5780,N/A ,None
advantage solutions inc wt,ADVWW,0.2561,"0.2300,0.2300",1.9100,1.9100 x 1200,None,0.2001 , 0.3099,0.2001 , 0.3099,5172,N/A,N/A,N/A,N/A,N/A,N/A ,None
addex therapeutics ltd adr,ADXN,0.7871,"0.7900,0.7900",0.7550,0.7650 x 1400,None,0.7460 , 0.8181,0.6420 , 8.3800,24494,180157,6.519M,1.80,N/A,-3.2640,N/A ,None
authentic equity acquisition corp cl a,AEAC,10.00,"10.00,10.00",10.00,0.00 x 4000,None,10.00 , 10.00,9.70 , 10.01,2615,44571,300M,N/A,22.22,0.45,N/A ,None
authentic equity acquisition corp wt,AEACW,0.0176,"0.0176,0.0176",0.6900,0.6600 x 900,None,0.0176 , 0.0192,0.0176 , 0.0192,30619,N/A,N/A,N/A,N/A,N/A,N/A ,None
authentic equity acquisition corp,AEACU,10.00,"10.00,10.00",10.00,10.00 x 1000,None,10.00 , 10.00,9.83 , 10.10,9,2773,N/A,N/A,58.48,0.17,N/A ,None
altenergy acquisition corp cl a,AEAE,10.05,"10.05,10.05",10.05,10.04 x 1100,None,10.05 , 10.05,3.85 , 10.78,114,50595,288.938M,N/A,7.88,1.28,N/A ,None
altenergy acquisition corp,AEAEU,10.10,"10.10,10.10",10.10,10.07 x 900,None,10.10 , 10.10,9.91 , 10.20,235,653,N/A,N/A,7.92,1.28,N/A ,None
altenergy acquisition corp wt,AEAEW,0.1400,"0.1400,0.1400",0.1300,0.0000 x 1200,None,0.1299 , 0.1507,0.1299 , 0.1507,88048,N/A,N/A,N/A,N/A,N/A,N/A ,None
aesther healthcare acquisition corp cl a,AEHA,10.24,"10.24,10.24",10.24,0.00 x 900,None,10.24 , 10.28,9.95 , 10.60,1302,25237,135.424M,N/A,N/A,N/A,N/A ,None
aesther healthcare acquisition corp wt,AEHAW,0.1200,"0.1200,0.1200",0.1199,0.0740 x 900,None,0.1199 , 0.1200,0.1199 , 0.1200,67040,N/A,N/A,N/A,N/A,N/A,N/A ,None
antelope enterprise hldg ltd,AEHL,0.5400,"0.5604,0.5604",0.5533,0.5400 x 1100,None,0.5211 , 0.5600,0.5000 , 3.0500,53444,141353,3.306M,1.00,N/A,-2.5720,N/A ,None
aehr test systems,AEHR,18.33,"17.84,17.84",17.65,18.44 x 1000,None,17.60 , 18.81,6.71 , 27.09,405889,1732585,503.991M,1.52,52.37,0.35,N/A ,None
alset inc,AEI,0.1941,"0.1973,0.1973",0.2002,0.1960 x 1100,None,0.1934 , 0.2049,0.1850 , 2.1200,49095,615993,28.825M,N/A,0.05,3.6000,N/A ,None
advanced energy,AEIS,81.00,"80.26,80.26",79.68,81.01 x 1100,None,79.25 , 81.89,67.55 , 98.07,74470,174325,3.026B,1.58,21.54,3.76,0.40 ,0.51
american electric power company,AEPPZ,50.17,"50.25,50.25",49.91,49.97 x 800,None,49.91 , 50.17,47.58 , 58.65,1059,93642,N/A,0.41,9.61,5.22,N/A ,None
aeroclean technologies inc,AERC,2.9300,"2.9300,2.9300",2.8600,2.9500 x 1300,None,2.8100 , 3.0008,1.7600 , 117.3500,63705,3106646,46.328M,N/A,N/A,-0.6990,N/A ,None
aerie pharmaceuticals,AERI,15.22,"15.21,15.21",15.21,15.22 x 3100,None,15.20 , 15.23,4.81 , 15.37,98363,1613998,751.723M,-0.07,N/A,-1.47,N/A ,None
allied esports entertainment inc,AESE,1.2350,"1.1600,1.1600",1.1400,1.2300 x 1100,None,1.1400 , 1.2400,1.1100 , 2.5000,64463,75467,48.271M,1.34,0.77,1.6080,N/A ,None
addvantage techs group,AEY,1.8567,"1.8600,1.8600",1.8700,1.8200 x 1000,None,1.8101 , 1.8700,1.0500 , 2.3400,3401,483615,26.075M,0.54,N/A,-0.3860,N/A ,None
audioeye inc,AEYE,5.50,"5.53,5.53",5.50,5.51 x 1300,None,5.50 , 5.50,3.10 , 10.44,2033,18987,62.964M,1.37,N/A,-1.34,N/A ,None
aeterna zentaris,AEZS,4.0900,"4.0400,4.0400",4.0900,4.0400 x 1300,None,4.0400 , 4.0900,3.5200 , 17.0000,3405,37125,20.108M,1.70,N/A,-0.0790,N/A ,None
arena fortify acquisition corp cl a,AFAC,10.20,"10.10,10.10",10.20,10.20 x 1200,None,10.20 , 10.22,9.55 , 10.81,659030,16409,219.937M,N/A,7.27,1.40,N/A ,None
arena fortify acquisition corp,AFACU,10.20,"10.20,10.20",10.20,10.20 x 2200,None,10.20 , 10.20,9.97 , 10.20,14940,601,N/A,N/A,7.27,1.40,N/A ,None
arena fortify acquisition corp wt,AFACW,0.0100,"0.0598,0.0598",N/A,N/A x N/A,None,0.0100 , 0.0299,0.0100 , 0.0299,458542,N/A,N/A,N/A,N/A,N/A,N/A ,None
af acquisition corp,AFAQ,9.92,"9.92,9.92",9.90,9.90 x 3000,None,9.90 , 9.92,9.66 , 9.92,24564,26365,277.76M,N/A,43.13,0.23,N/A ,None
af acquisition corp units,AFAQU,9.88,"9.88,9.88",9.88,9.84 x 1400,None,9.88 , 9.88,9.72 , 10.29,100,350,N/A,N/A,17.74,0.56,N/A ,None
af acquisition corp wt,AFAQW,0.0687,"0.0687,0.0687",0.6886,0.6202 x 800,None,0.0687 , 0.0700,0.0687 , 0.0700,308,N/A,N/A,N/A,N/A,N/A,N/A ,None
aura fat projects acquisition corp cl a,AFAR,10.10,"10.10,10.10",10.09,10.10 x 900,None,10.09 , 10.10,9.83 , 10.19,432,48287,146.349M,N/A,N/A,N/A,N/A ,None
aura fat projects acquisition corp,AFARU,10.09,"10.09,10.09",10.11,10.13 x 1800,None,10.08 , 10.11,9.90 , 10.12,8400,2604,N/A,N/A,N/A,N/A,N/A ,None
